Any,Indicador,Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2018,Assistents_Activitats,"Biblioteca Trinitat Vella - J. Barbero",2160,,,09,"Sant Andreu",57,"la Trinitat Vella","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.449283144,2.190748711
2018,Assistents_Activitats,"Biblioteca Camp de l'Arpa - Caterina Albert",2619,,,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.415766234,2.182280785
2018,Assistents_Activitats,"Biblioteca El Clot - Josep Benet",2041,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.4019532,2.188806
2018,Assistents_Activitats,"Biblioteca Poblenou - Manuel Arranz",2756,,,10,"Sant Martí",68,"el Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.401373426,2.204525705
2018,Assistents_Activitats,"Biblioteca Ramon d'Alòs-Moner",596,,,10,"Sant Martí",70,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.416309274,2.211483280
2018,Assistents_Activitats,"Biblioteca Sant Martí de Provençals",1137,,,10,"Sant Martí",72,"Sant Martí de Provençals","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.416623960,2.198564569
2018,Assistents_Activitats,"Biblioteca Xavier Benguerel",1695,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.392407385,2.197710107
2018,Assistents_Visites_Escolars,"Biblioteca Barceloneta - La Fraternitat",1157,,,01,"Ciutat Vella",03,"la Barceloneta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.379201005,2.188854072
2018,Assistents_Visites_Escolars,"Biblioteca Francesca Bonnemaison",425,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.386936575,2.175789976
2018,Assistents_Visites_Escolars,"Biblioteca Gòtic - Andreu Nin",1504,,,01,"Ciutat Vella",02,"el Barri Gòtic","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.378730324,2.175978504
2018,Assistents_Visites_Escolars,"Biblioteca Sant Pau i Santa Creu",2107,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.381057326,2.169793857
2018,Assistents_Visites_Escolars,"Biblioteca Esquerra de l'Eixample-Agustí Centelles",1667,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.3864488,2.1527896
2018,Assistents_Visites_Escolars,"Biblioteca Fort Pienc",3548,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.395555185,2.182447586
2018,Assistents_Visites_Escolars,"Biblioteca Joan Miró",1118,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.378816801,2.149230361
2018,Assistents_Visites_Escolars,"Biblioteca Sagrada Família",2280,,,02,Eixample,06,"la Sagrada Família","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.4055771,2.176118
2018,Assistents_Visites_Escolars,"Biblioteca Sant Antoni - Joan Oliver",2003,,,02,Eixample,10,"Sant Antoni","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.377384776,2.162778079
2018,Assistents_Visites_Escolars,"Biblioteca Sofia Barat",1430,,,02,Eixample,07,"la Dreta de Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.394674294,2.171504480
2018,Assistents_Visites_Escolars,"Biblioteca Francesc Candel",1109,,,03,Sants-Montjuïc,13,"la Marina de Port","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.361777512,2.136276613
2018,Assistents_Visites_Escolars,"Biblioteca Poble Sec - Francesc Boix",523,,,03,Sants-Montjuïc,11,"el Poble-sec","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.373921824,2.164025015
2018,Assistents_Visites_Escolars,"Biblioteca Vapor Vell",463,,,03,Sants-Montjuïc,18,Sants,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.376897256,2.134733614
2018,Assistents_Visites_Escolars,"Biblioteca Les Corts - Miquel Llongueras",650,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.377777960,2.121760828
2018,Assistents_Visites_Escolars,"Biblioteca Montserrat Abelló i Soler",924,,,04,"Les Corts",19,"les Corts","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.383722,2.1352722
2018,Assistents_Visites_Escolars,"Biblioteca Clarà",1241,,,05,"Sarrià-Sant Gervasi",24,"les Tres Torres","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.399909399,2.129455802
2018,Assistents_Visites_Escolars,"Biblioteca Collserola - Josep Miracle",417,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.415359022,2.102528700
2018,Assistents_Visites_Escolars,"Biblioteca Sant Gervasi - Joan Maragall",2067,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.4059495,2.136064
2018,Assistents_Visites_Escolars,"Biblioteca Jaume Fuster",2384,,,06,Gràcia,28,"Vallcarca i els Penitents","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.407459888,2.149757498
2018,Assistents_Visites_Escolars,"Biblioteca Vallcarca i els Penitents",663,,,06,Gràcia,28,"Vallcarca i els Penitents","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.420008234,2.139657303
2018,Assistents_Visites_Escolars,"Biblioteca Vila de Gràcia",347,,,06,Gràcia,31,"la Vila de Gràcia","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.401467067,2.158213802
2018,Assistents_Visites_Escolars,"Biblioteca El Carmel - Juan Marsé",1299,,,07,Horta-Guinardó,37,"el Carmel","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.421104560,2.155286623
2018,Assistents_Visites_Escolars,"Biblioteca Guinardó - Mercè Rodoreda",449,,,07,Horta-Guinardó,33,"el Baix Guinardó","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.414313258,2.165318095
2018,Assistents_Visites_Escolars,"Biblioteca Horta - Can Mariner",2089,,,07,Horta-Guinardó,43,Horta,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.431105502,2.160733590
2018,Assistents_Visites_Escolars,"Biblioteca Montbau - Albert Pérez Baró",163,,,07,Horta-Guinardó,40,Montbau,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.429553532,2.142195427
2018,Assistents_Visites_Escolars,"Biblioteca Canyelles",347,,,08,"Nou Barris",49,Canyelles,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.443773486,2.164322669
2018,Assistents_Visites_Escolars,"Biblioteca Les Roquetes",1031,,,08,"Nou Barris",50,"les Roquetes","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.445371792,2.177103706
2018,Assistents_Visites_Escolars,"Biblioteca Nou Barris",1440,,,08,"Nou Barris",48,"la Guineueta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.436813681,2.171212448
2018,Assistents_Visites_Escolars,"Biblioteca Vilapicina i la Torre Llobeta",942,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.426885098,2.176452383
2018,Assistents_Visites_Escolars,"Biblioteca Zona Nord",1969,,,08,"Nou Barris",54,"Torre Baró","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.461237425,2.179875786
2018,Assistents_Visites_Escolars,"Biblioteca Bon Pastor",4365,,,09,"Sant Andreu",59,"el Bon Pastor","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.435164144,2.204659876
2018,Assistents_Visites_Escolars,"Biblioteca Ignasi Iglésias - Can Fabra",4372,,,09,"Sant Andreu",60,"Sant Andreu","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.434481450,2.190871493
2018,Assistents_Visites_Escolars,"Biblioteca La Sagrera - Marina Clotet",2029,,,09,"Sant Andreu",61,"la Sagrera","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.425875519,2.193764263
2018,Assistents_Visites_Escolars,"Biblioteca Trinitat Vella - J. Barbero",950,,,09,"Sant Andreu",57,"la Trinitat Vella","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.449283144,2.190748711
2018,Assistents_Visites_Escolars,"Biblioteca Camp de l'Arpa - Caterina Albert",1175,,,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.415766234,2.182280785
2018,Assistents_Visites_Escolars,"Biblioteca El Clot - Josep Benet",991,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.4019532,2.188806
2018,Assistents_Visites_Escolars,"Biblioteca Poblenou - Manuel Arranz",1945,,,10,"Sant Martí",68,"el Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.401373426,2.204525705
2018,Assistents_Visites_Escolars,"Biblioteca Ramon d'Alòs-Moner",1278,,,10,"Sant Martí",70,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.416309274,2.211483280
2018,Assistents_Visites_Escolars,"Biblioteca Sant Martí de Provençals",1314,,,10,"Sant Martí",72,"Sant Martí de Provençals","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.416623960,2.198564569
2018,Assistents_Visites_Escolars,"Biblioteca Xavier Benguerel",575,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.392407385,2.197710107
2018,Fons_Documentals,"Biblioteca Barceloneta - La Fraternitat",50959,,,01,"Ciutat Vella",03,"la Barceloneta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.379201005,2.188854072
2018,Fons_Documentals,"Biblioteca Francesca Bonnemaison",94964,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.386936575,2.175789976
2018,Fons_Documentals,"Biblioteca Gòtic - Andreu Nin",46137,,,01,"Ciutat Vella",02,"el Barri Gòtic","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.378730324,2.175978504
2018,Fons_Documentals,"Biblioteca Sant Pau i Santa Creu",68455,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.381057326,2.169793857
2018,Fons_Documentals,"Biblioteca Esquerra de l'Eixample-Agustí Centelles",86013,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.3864488,2.1527896
2018,Fons_Documentals,"Biblioteca Fort Pienc",64787,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.395555185,2.182447586
2018,Fons_Documentals,"Biblioteca Joan Miró",63014,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.378816801,2.149230361
2018,Fons_Documentals,"Biblioteca Sagrada Família",97707,,,02,Eixample,06,"la Sagrada Família","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.4055771,2.176118
2018,Fons_Documentals,"Biblioteca Sant Antoni - Joan Oliver",45955,,,02,Eixample,10,"Sant Antoni","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.377384776,2.162778079
2018,Fons_Documentals,"Biblioteca Sofia Barat",48615,,,02,Eixample,07,"la Dreta de Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.394674294,2.171504480
2018,Fons_Documentals,"Biblioteca Francesc Candel",68447,,,03,Sants-Montjuïc,13,"la Marina de Port","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.361777512,2.136276613
2018,Fons_Documentals,"Biblioteca Poble Sec - Francesc Boix",42845,,,03,Sants-Montjuïc,11,"el Poble-sec","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.373921824,2.164025015
2018,Fons_Documentals,"Biblioteca Vapor Vell",104468,,,03,Sants-Montjuïc,18,Sants,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.376897256,2.134733614
2018,Fons_Documentals,"Biblioteca Les Corts - Miquel Llongueras",76791,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.377777960,2.121760828
2018,Fons_Documentals,"Biblioteca Montserrat Abelló i Soler",43060,,,04,"Les Corts",19,"les Corts","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.383722,2.1352722
2018,Fons_Documentals,"Biblioteca Clarà",56105,,,05,"Sarrià-Sant Gervasi",24,"les Tres Torres","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.399909399,2.129455802
2018,Fons_Documentals,"Biblioteca Collserola - Josep Miracle",29616,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.415359022,2.102528700
2018,Fons_Documentals,"Biblioteca Sant Gervasi - Joan Maragall",58665,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.4059495,2.136064
2018,Fons_Documentals,"Biblioteca Jaume Fuster",112137,,,06,Gràcia,28,"Vallcarca i els Penitents","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.407459888,2.149757498
2018,Fons_Documentals,"Biblioteca Vallcarca i els Penitents",33957,,,06,Gràcia,28,"Vallcarca i els Penitents","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.420008234,2.139657303
2018,Fons_Documentals,"Biblioteca Vila de Gràcia",52253,,,06,Gràcia,31,"la Vila de Gràcia","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.401467067,2.158213802
2018,Fons_Documentals,"Biblioteca El Carmel - Juan Marsé",101557,,,07,Horta-Guinardó,37,"el Carmel","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.421104560,2.155286623
2018,Fons_Documentals,"Biblioteca Guinardó - Mercè Rodoreda",92441,,,07,Horta-Guinardó,33,"el Baix Guinardó","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.414313258,2.165318095
2018,Fons_Documentals,"Biblioteca Horta - Can Mariner",55193,,,07,Horta-Guinardó,43,Horta,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.431105502,2.160733590
2018,Fons_Documentals,"Biblioteca Montbau - Albert Pérez Baró",41183,,,07,Horta-Guinardó,40,Montbau,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.429553532,2.142195427
2018,Fons_Documentals,"Biblioteca Canyelles",30732,,,08,"Nou Barris",49,Canyelles,"Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.443773486,2.164322669
2018,Fons_Documentals,"Biblioteca Les Roquetes",38854,,,08,"Nou Barris",50,"les Roquetes","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.445371792,2.177103706
2018,Fons_Documentals,"Biblioteca Nou Barris",95727,,,08,"Nou Barris",48,"la Guineueta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.436813681,2.171212448
2018,Fons_Documentals,"Biblioteca Vilapicina i la Torre Llobeta",42335,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.426885098,2.176452383
2018,Fons_Documentals,"Biblioteca Zona Nord",49755,,,08,"Nou Barris",54,"Torre Baró","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.461237425,2.179875786
2018,Fons_Documentals,"Biblioteca Bon Pastor",52821,,,09,"Sant Andreu",59,"el Bon Pastor","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.435164144,2.204659876
2018,Fons_Documentals,"Biblioteca Ignasi Iglésias - Can Fabra",136690,,,09,"Sant Andreu",60,"Sant Andreu","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.434481450,2.190871493
2018,Fons_Documentals,"Biblioteca La Sagrera - Marina Clotet",52432,,,09,"Sant Andreu",61,"la Sagrera","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.425875519,2.193764263
2018,Fons_Documentals,"Biblioteca Trinitat Vella - J. Barbero",25452,,,09,"Sant Andreu",57,"la Trinitat Vella","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.449283144,2.190748711
2018,Fons_Documentals,"Biblioteca Camp de l'Arpa - Caterina Albert",59384,,,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.415766234,2.182280785
2018,Fons_Documentals,"Biblioteca El Clot - Josep Benet",44682,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.4019532,2.188806
2018,Fons_Documentals,"Biblioteca Poblenou - Manuel Arranz",60033,,,10,"Sant Martí",68,"el Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.401373426,2.204525705
2018,Fons_Documentals,"Biblioteca Ramon d'Alòs-Moner",36758,,,10,"Sant Martí",70,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.416309274,2.211483280
2018,Fons_Documentals,"Biblioteca Sant Martí de Provençals",32405,,,10,"Sant Martí",72,"Sant Martí de Provençals","Consorci o fundació amb presència municipal","Biblioteques de Barcelona",Biblioteques,Lletres,41.416623960,2.198564569
